#{"t_start": 1755726833.5875497, "env_id": "None"}
r,l,t
34128.54683,5000,10505.142927
100029.664377,5000,10533.57368
51953.776214,5000,10614.685335
86241.472892,5000,10632.297398
102275.060857,5000,10688.761313
45773.308521,5000,10706.947788
82821.405528,5000,10746.634315
52717.059656,5000,10762.368958
93225.637583,5000,10800.830528
24698.69414,5000,10816.469593
68792.929055,5000,10855.921117
60320.048033,5000,10871.54311
81519.765498,5000,10909.535063
75079.990369,5000,10924.919864
43428.831801,5000,10961.768106
84809.090368,5000,10974.155953
1452.348315,5000,11017.587552
34288.394471,5000,11032.729097
4816.302314,5000,11076.588667
23322.284176,5000,11089.413818
13078.638641,5000,11132.583519
40553.46373,5000,11147.453254
3681.558809,5000,11189.890776
364.925029,5000,11203.331765
1433.570244,5000,11243.644614
55870.380694,5000,11258.957092
2955.361673,5000,11302.575424
16435.788999,5000,11318.910702
77775.250041,5000,11358.307961
3900.394226,5000,11373.649478
29262.11276,5000,11413.403891
16500.199592,5000,11432.996297
59956.141912,5000,11476.641627
2214.598224,5000,11489.834522
20397.670173,5000,11532.402437
70266.295973,5000,11544.802659
10612.283494,5000,11585.4829
12166.295707,5000,11599.154053
3344.408476,5000,11643.472338
2260.956658,5000,11657.862522
39467.939767,5000,11695.912932
33392.741775,5000,11711.109413
12985.4088,5000,11748.850709
13158.742652,5000,11765.087553
16636.973738,5000,11808.398601
1434.360692,5000,11823.418756
9102.412791,5000,11861.971696
4543.049011,5000,11877.251259
16192.212068,5000,11915.04868
12816.19835,5000,11927.431861
7894.257712,5000,11969.775062
2513.756126,5000,11982.168515
14742.281935,5000,12023.755051
81637.903413,5000,12040.010611
4279.269269,5000,12083.369774
12907.334374,5000,12096.136964
1300.74627,5000,12136.525977
1761.388699,5000,12148.564749
40422.911861,5000,12186.039929
39882.98613,5000,12201.136742
33980.031103,5000,12238.048372
2423.40454,5000,12252.933828
14287.341122,5000,12290.098734
40675.981034,5000,12305.561266
2411.94032,5000,12346.785535
30431.29529,5000,12362.656452
39125.518223,5000,12402.093142
15273.04888,5000,12414.212509
21509.352062,5000,12458.537188
3742.61246,5000,12471.202828
45829.505015,5000,12512.116965
26614.222691,5000,12524.311154
11886.018049,5000,12567.34343
3297.543091,5000,12580.217508
48566.698637,5000,12619.483566
1026.640569,5000,12634.578568
1802.75714,5000,12672.417226
48099.670972,5000,12687.908448
192.536184,5000,12725.436231
1716.57124,5000,12742.834151
5693.864322,5000,12781.803185
2339.116225,5000,12796.962904
74666.381318,5000,12833.847432
2297.263324,5000,12846.184919
29640.255611,5000,12887.431996
48204.375207,5000,12899.85985
69342.868499,5000,12941.0106
26704.192286,5000,12953.696979
51135.507594,5000,12995.959385
26264.036429,5000,13008.673902
67407.898067,5000,13048.908741
19553.395607,5000,13061.203305
32691.519966,5000,13100.979504
58259.576819,5000,13117.244769
54144.278682,5000,13156.240129
82868.423857,5000,13171.614694
7224.607094,5000,13208.270884
83858.297925,5000,13223.293926
18141.76914,5000,13261.033682
3835.061476,5000,13276.827566
2155.810619,5000,13317.052864
43887.025831,5000,13329.438939
87537.571344,5000,13369.702343
28769.918364,5000,13381.435491
28899.203842,5000,13421.136905
15147.258495,5000,13433.208373
73811.822164,5000,13472.116388
36548.606902,5000,13487.842976
-888.896008,5000,6406.690236
2200.662574,5000,6445.288718
2200.662574,5000,6451.395922
2200.662574,5000,6457.834127
2200.662574,5000,6464.741516
2200.662574,5000,6470.566851
-758.050466,5000,6508.295769
-758.050466,5000,6513.47133
-758.050466,5000,6518.850625
-758.050466,5000,6524.038029
-758.050466,5000,6530.118756
502.826075,5000,6582.029452
502.826075,5000,6593.563528
502.826075,5000,6601.525509
502.826075,5000,6608.459272
502.826075,5000,6614.498003
-453.164692,5000,6664.086928
-453.164692,5000,6670.472534
-453.164692,5000,6677.74254
-453.164692,5000,6683.306654
-453.164692,5000,6688.338553
103478.284139,5000,6726.982672
103478.284139,5000,6732.594925
103478.284139,5000,6738.083806
103478.284139,5000,6742.984601
103478.284139,5000,6747.874998
-627.585561,5000,6778.359041
-627.585561,5000,6784.214215
-627.585561,5000,6789.066891
-627.585561,5000,6794.765102
-627.585561,5000,6800.593558
457.042593,5000,6843.164604
457.042593,5000,6848.488943
457.042593,5000,6853.86934
457.042593,5000,6858.885827
457.042593,5000,6863.837351
-341.08466,5000,6896.050285
-341.08466,5000,6900.9015
-341.08466,5000,6905.775955
-341.08466,5000,6910.639999
-341.08466,5000,6915.831516
-779.007707,5000,6948.198889
-779.007707,5000,6952.942273
-779.007707,5000,6957.693935
-779.007707,5000,6962.835887
-779.007707,5000,6967.919312
90799.498673,5000,7000.073468
90799.498673,5000,7005.216919
90799.498673,5000,7010.516358
90799.498673,5000,7016.330651
90799.498673,5000,7022.98727
-186.364704,5000,7065.987524
-186.364704,5000,7075.236264
-186.364704,5000,7080.906201
-186.364704,5000,7086.806505
-186.364704,5000,7092.686639
5952.150131,5000,7125.824258
5952.150131,5000,7131.035319
5952.150131,5000,7136.492848
5952.150131,5000,7141.653582
5952.150131,5000,7146.531942
241.290648,5000,7180.774628
241.290648,5000,7186.039298
241.290648,5000,7191.531852
241.290648,5000,7196.360663
241.290648,5000,7201.517112
-593.854434,5000,7237.078101
-593.854434,5000,7242.60214
-593.854434,5000,7248.3822
-593.854434,5000,7253.665419
-593.854434,5000,7259.611602
-985.229614,5000,7297.619688
-985.229614,5000,7303.179709
-985.229614,5000,7308.635143
-985.229614,5000,7314.745921
-985.229614,5000,7320.271287
-902.392215,5000,7360.982948
-902.392215,5000,7366.885388
-902.392215,5000,7372.812085
-902.392215,5000,7379.139681
-902.392215,5000,7385.843113
-1048.503768,5000,7425.228489
-1048.503768,5000,7431.173318
-1048.503768,5000,7436.873319
-1048.503768,5000,7443.612353
-1048.503768,5000,7450.884103
497.708569,5000,7488.781745
497.708569,5000,7495.302624
497.708569,5000,7501.742959
497.708569,5000,7509.778257
497.708569,5000,7515.446144
-268.597992,5000,7553.216297
-268.597992,5000,7561.060829
-268.597992,5000,7573.083192
-268.597992,5000,7584.797971
-268.597992,5000,7596.707622
-459.326449,5000,7654.775041
-459.326449,5000,7661.891741
-459.326449,5000,7671.926062
-459.326449,5000,7679.812552
-459.326449,5000,7687.51578
-445.364118,5000,7736.976192
-445.364118,5000,7745.77539
-445.364118,5000,7753.370871
-445.364118,5000,7760.745937
-445.364118,5000,7769.55141
-446.717829,5000,7808.730971
-446.717829,5000,7814.832414
-446.717829,5000,7820.889848
-446.717829,5000,7828.532925
-446.717829,5000,7834.557653
-768.510285,5000,7874.606532
-768.510285,5000,7879.385817
-768.510285,5000,7884.900789
-768.510285,5000,7891.696198
-768.510285,5000,7897.522185
-241.930834,5000,7932.509753
-241.930834,5000,7939.243512
-241.930834,5000,7945.152872
-241.930834,5000,7953.014181
-241.930834,5000,7960.088464
-73.999663,5000,7998.5356
-73.999663,5000,8005.109741
